asset,address,amount
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xAb1820b80cf26373D80e8dD6918d3Ad1bD2AacCd,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8343BcB19aA2e69cceD6761Ea275dF2Ec23D3B1C,566563677980313792
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x117e1EbB7D05545064850513021dF6ADe3C1690B,56656367798031384
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4Fd0fF2C49671D4fE1927371cf833E8b3B7f44eA,750000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x841AD0AbAb2D33520ca236A2F5D8b038adDc12BA,169980017904561888
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x00A130b8aD1C592d100078f34C28fB49BE2E00cC,56660005968187296
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xd42Aa370fCD06C683b7154FfA799A8e00AC0121E,11466962
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x95B0cB330519DB2bCaf74B90C1BDe3D62f673718,226697396758227232
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x952B869B84d45821F31667771BE7E8C51D7d0316,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xA3ead96F680d1Cf0b8759be4912574c8465cA927,600000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x20E0eBD8029B167785827c8438F1e366d930EcF5,566743491895568064
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x841AD0AbAb2D33520ca236A2F5D8b038adDc12BA,169980017904561888
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2fA6073160c872B86EAD34ECf28eB0Cf5724Fb54,56674349189556808
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf4A43B3D0EACdf87521E22373d2aaAf9B3143ef3,4986080525200481280
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x20E0eBD8029B167785827c8438F1e366d930EcF5,56674349189556808
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x23e68A3ba783E4f287843e06d7c4DcBE9c94fb17,56674349189556808
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xd0d05FFbF2051f3e0D7319630cDECba348bBFCFE,750000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4Fd0fF2C49671D4fE1927371cf833E8b3B7f44eA,300000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xaD473047035e0aa0F3395b845FaFe57B50F170Ba,10484754600068009984
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x98CC9fd8B9aF3Ed207d977400626D95E38200bf1,3900000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x23e68A3ba783E4f287843e06d7c4DcBE9c94fb17,56674349189556808
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x266eE152cf011964aa4399bB568709199Da82063,170087954371071424
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x70Efd0ef4343ACd2A335EcB90F8b0f6FB24b006c,566959847903571456
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1296a8671C9Ff68F970331e4c1E958CA4D5eE591,170087954371071424
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x23e68A3ba783E4f287843e06d7c4DcBE9c94fb17,56674349189556808
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdb6C18087cB71164f9B47981d684E68C697b319e,56648237106861232
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x343B0Aa7B5d5D174a2410751dc660ab1bD48700a,1500000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe86A383f599eB082F0Dd6187dC144E22893220F6,1132964742137224704
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x8c1515e1e4A58CC883f005b5E7f5A3094e89c9A3,79924988
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x06423EDcD9B9ECf6b706AFFbc0f4B1D1AD4d4bb0,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x343B0Aa7B5d5D174a2410751dc660ab1bD48700a,3000000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xB0CDceea3dE83a33D891c5AeCFbe4187733D1D91,15000000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdb6C18087cB71164f9B47981d684E68C697b319e,56648237106861232
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x404fB4d4477730C0Aa903b9dc127e634B27F2620,56658507841537480
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8c1515e1e4A58CC883f005b5E7f5A3094e89c9A3,43485820334203928576
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x343B0Aa7B5d5D174a2410751dc660ab1bD48700a,2250000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x23e68A3ba783E4f287843e06d7c4DcBE9c94fb17,113296474213722464
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2C0BABeEc0bcD38E2b99bfe9d6e6226db4cBa35b,56648237106861232
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x343B0Aa7B5d5D174a2410751dc660ab1bD48700a,600000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4Fd0fF2C49671D4fE1927371cf833E8b3B7f44eA,750000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE84915FD6079E1A4449dD827a660d1D6237555eF,736560601939987328
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x90F15E09B8Fb5BC080B968170C638920Db3A3446,849877617623062272
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd42Aa370fCD06C683b7154FfA799A8e00AC0121E,113296474213722464
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8ccDB4E5D5Ca1933Fe619816F0b08DF2b98F1623,169975523524612448
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1296a8671C9Ff68F970331e4c1E958CA4D5eE591,56695984790357144
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xd42Aa370fCD06C683b7154FfA799A8e00AC0121E,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFB134035F17912DC6a19A34509cF847c7b604c0C,22591892522836635648
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9901D67BDA435015e272cc0993734f8488c3253f,56479731307091592
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5b3A26142478cC844F4E1175a3E6956fCf615Ddf,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5b7a776bC334D8007Fe07F7111d4262aA01b8751,300000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x95F615C88f791351b414322a0a7F9cc7354ae19f,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFB134035F17912DC6a19A34509cF847c7b604c0C,2880466296661671424
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x27C5BeD2CA6096C611C72BF0B4C8109Eeec1fA4F,564986647482231168
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x613625801Da7412F98D3403Ca831708be1371FFe,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x613625801Da7412F98D3403Ca831708be1371FFe,112997329496446240
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xef13D48C16Da25a7D527D5f572A3dcE53208A79B,56498664748223120
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x86E9DcffE88f45989C5468Ae4E76e42D7a7b6916,4950000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2249e2951afcac9F2134f451E815f64F3B2B7407,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd8E61FB339BA22d4103EbcA49D16751C342B3759,112997329496446240
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x096C58e03Ae28501Ed1857F6Bc5f383f094B4A20,282493323741115584
